data,tags
ntdll kernel32 KernelBase advapi32 msvcrt sechost rpcrt4 gdi32 user32 lpk usp10 ole32 msimg32 userenv profapi crypt32 msasn1 wmsgapi wtsapi32 winmm msctf imm32 winsta comctl32 shlwapi secur32 sspicli shell32 cryptbase uxtheme dwmapi wintrust cryptsp rsaenh MsCtfMonitor imagehlp msutb bcrypt version clbcatq oleaut32 urlmon api-ms-win-downlevel-ole32-l1-1-0 api-ms-win-downlevel-shlwapi-l1-1-0 api-ms-win-downlevel-advapi32-l1-1-0 api-ms-win-downlevel-user32-l1-1-0 api-ms-win-downlevel-version-l1-1-0 api-ms-win-downlevel-normaliz-l1-1-0 normaliz iertutil wininet bcryptprimitives credui authui cryptui GdiPlus dui70 duser propsys MMDevAPI setupapi cfgmgr32 devobj imageres xmllite msutb ,normal
SensApi SensApi SensApi ,normal
ntdll kernel32 KernelBase msvcrt ole32 gdi32 user32 lpk usp10 rpcrt4 imm32 msctf cryptbase clbcatq advapi32 sechost oleaut32 cryptsp rsaenh RpcRtRemote uxtheme comctl32 shlwapi userenv profapi shacct IDStore ,normal
EhStorShell cscui cscdll ntshrui slc imageres imageres ExplorerFrame imageres imageres imageres imageres imageres imageres imageres imageres imageres imageres msftedit msls31 linkinfo tiptsf SearchFolder StructuredQuery mssprxy psapi shdocvw thumbcache samlib ieframe api-ms-win-downlevel-shell32-l1-1-0 api-ms-win-downlevel-shlwapi-l2-1-0 mssvp mapi32 imageres imageres imageres imageres imageres imageres imageres imageres imageres networkexplorer ieproxy imageres imageres imageres imageres imageres imageres imageres actxprxy imageres imageres imageres drprov ntlanman winmm imageres imageres imageres davclnt wpdshext davhlpr wintrust PortableDeviceApi imageres EhStorAPI mssvp mapi32 ,normal
sendmail mydocs wpdshext ,normal
ntdll kernel32 KernelBase gdi32 user32 lpk usp10 msvcrt imm32 msctf ole32 rpcrt4 oleaut32 uxtheme dwmapi advapi32 sechost comctl32 shlwapi cryptbase ,normal
ntdll kernel32 KernelBase msvcrt ole32 gdi32 user32 lpk usp10 rpcrt4 imm32 msctf cryptbase clbcatq advapi32 sechost oleaut32 cryptsp rsaenh RpcRtRemote shacct comctl32 shlwapi userenv profapi IDStore ,normal
SensApi SensApi ,normal
ntdll kernel32 KernelBase advapi32 msvcrt sechost rpcrt4 crypt32 msasn1 cryptdll netutils netapi32 srvcli wkscli ntdsapi ws2_32 nsi shlwapi gdi32 user32 lpk usp10 samlib secur32 sspicli shell32 setupapi cfgmgr32 oleaut32 ole32 devobj imm32 msctf rsaenh ncrypt bcrypt logoncli vaultcli wintrust hid ,mimikatz
ntdll kernel32 KernelBase msvcrt ole32 gdi32 user32 lpk usp10 rpcrt4 imm32 msctf cryptbase clbcatq advapi32 sechost oleaut32 cryptsp rsaenh RpcRtRemote shacct comctl32 shlwapi userenv profapi IDStore ,normal
ntdll kernel32 KernelBase msvcrt ole32 gdi32 user32 lpk usp10 rpcrt4 imm32 msctf cryptbase clbcatq advapi32 sechost oleaut32 cryptsp rsaenh RpcRtRemote uxtheme shacct comctl32 shlwapi userenv profapi IDStore ,normal
SensApi SensApi ,normal
ntdll kernel32 KernelBase gdi32 user32 lpk usp10 msvcrt imm32 msctf ole32 rpcrt4 oleaut32 uxtheme dwmapi advapi32 sechost comctl32 shlwapi cryptbase ,normal
ntdll kernel32 KernelBase msvcrt ole32 gdi32 user32 lpk usp10 rpcrt4 imm32 msctf cryptbase clbcatq advapi32 sechost oleaut32 cryptsp rsaenh RpcRtRemote uxtheme thumbcache shell32 shlwapi comctl32 psapi propsys ,normal
